CAS          NAME   CLASS  LOGP  LOGMOLAR  ESTIMATE   ERROR    WSOL       MP    MOLWT
000372-18-9  M-DIFLUOROBENZENE                           12   2.21    -2        -1.787  -0.214   1.14E+03    Liq   114.10
000462-06-6  FLUOROBENZENE                               12   2.27    -1.795    -1.788  -0.007   1.54E+03    Liq   96.11
000540-36-3  P-DIFLUOROBENZENE                           12   2.13    -1.971    -1.71   -0.261   1.22E+03    Liq   114.10
000541-73-1  3-DICHLOROBENZENE                           12   3.60    -3.07     -3.224   0.154   1.25E+02    Liq   147.00
000583-53-9  O-DIBROMOBENZENE                            12   3.64    -3.5      -3.542   0.042   7.46E+01    Liq   235.92
000591-17-3  M-BROMOTOLUENE                              12   3.41    -3.523    -3.117  -0.406   5.13E+01    Liq   171.04
000591-50-4  IODOBENZENE                                 12   3.25    -2.778    -3.067   0.289   3.40E+02    Liq   204.01
000608-93-5  PENTACHLOROBENZENE                          12   5.17    -5.479    -5.58    0.102   8.31E-01    82.0  250.34
000625-98-9  M-CHLOROFLUOROBENZENE                       12   2.76    -2.346    -2.366   0.021   5.89E+02    Liq   130.55
000626-39-1  1,3,5-TRIBROMOBENZENE                       12   4.51    -5.6      -5.517  -0.083   7.90E-01   122.0  314.82
000634-66-2  1,2,3,4-TETRACHLOROBENZENE                  12   4.60    -4.562    -4.612   0.05    5.92E+00    48.0  215.89
000634-90-2  1,2,3,5-TETRACHLOROBENZENE                  12   4.56    -4.627    -4.592  -0.034   5.10E+00    50.0  215.89
000636-28-2  1,2,4,5-TETRABROMOBENZENE                   12   5.13    -6.993    -6.894  -0.099   4.00E-02   180.0  393.72
000879-39-0  2,3,4,5-TETRACHLORONITROBENZENE             12   3.93    -4.553    -4.781   0.228   7.30E+00    66.0  260.89
001073-06-9  M-BROMOFLUOROBENZENE                        12   2.92    -2.666    -2.66   -0.006   3.78E+02    Liq   175.01
017700-09-3  2,3,4-TRICHLORONITROBENZENE                 12   3.61    -3.94     -4.269   0.329   2.60E+01    55.5  226.45
018708-70-8  2,4,6-TRICHLORONITROBENZENE                 12   3.69    -4.559    -4.498  -0.061   6.25E+00    72.0  226.45
000055-21-0  BENZAMIDE                                   13    .64    -0.953    -1.254   0.301   1.35E+04   128.5  121.14
000058-27-5  2-METHYL-1,4-NAPHTHOQUINONE                 13   2.20    -3.032    -2.705  -0.327   1.60E+02   106.0  172.19
000060-11-7  4-(N,N-DIMETHYLAMINO)AZOBENZENE             13   4.58    -5.991    -5.585  -0.406   2.30E-01   115.5  225.30
000064-77-7  TOLBUTAMIDE                                 13   2.34    -3.394    -3.359  -0.036   1.09E+02   129.0  270.35
000065-45-2  O-HYDROXYBENZAMIDE                          13   1.28    -1.823    -1.063  -0.76    2.06E+03   140.0  137.14
000085-44-9  PHTHALIC ANHYDRIDE                          13   -.62    -1.378    -0.15   -1.228   6.20E+03   130.8  148.12
000087-17-2  SALICYLANILIDE                              13   3.27    -3.589    -3.176  -0.413   5.50E+01   136.0  213.24
000092-94-4  P-TERPHENYL                                 13   6.03    -7.107    -7.548   0.441   1.80E-02   213.0  230.31
000094-36-0  BENZOYL PEROXIDE                            13   3.46    -4.425    -4.125  -0.3     9.10E+00   105.0  242.23
000098-08-8  BENZOTRIFLUORIDE                            13   3.01    -2.511    -2.655   0.144   4.50E+02    Liq   146.11
000100-44-7  ALPHA-CHLOROTOLUENE                         13   2.30    -2.382    -1.912  -0.47    5.25E+02    Liq   126.59
000100-63-0  PHENYL HYDRAZINE                            13   1.25     0.07     -0.846   0.916   1.27E+05    Liq   108.14
000100-65-2  PHENYLHYDROXYLAMINE                         13    .79    -0.737    -0.932   0.195   2.00E+04    82.0  109.13
000100-66-3  ANISOLE                                     13   2.11    -2.017    -1.672  -0.345   1.04E+03    Liq   108.14
000100-68-5  THIOANISOLE                                 13   2.74    -2.39     -2.327  -0.063   5.06E+02    Liq   124.21
000101-84-8  DIPHENYL ETHER                              13   4.21    -3.976    -3.91   -0.065   1.80E+01    28.0  170.21
000103-70-8  FORMANILIDE                                 13   1.15    -0.678    -0.994   0.315   2.54E+04    47.0  121.14
000103-72-0  PHENYLISOTHIOCYANATE                        13   3.28    -3.177    -2.88   -0.297   8.99E+01    Liq   135.19
000103-73-1  ETHOXYBENZENE                               13   2.51    -2.332    -2.1    -0.232   5.69E+02    Liq   122.17
000103-84-4  ACETANILIDE                                 13   1.16    -1.29     -1.664   0.373   6.93E+03   114.0  135.17
000121-61-9  N4-ACETYLSULFANILAMIDE                      13   -.04    -1.607    -1.698   0.092   5.30E+03   216.0  214.24
000533-17-5  2-CHLOROACETANILIDE                         13   1.28    -1.4      -1.657   0.257   6.75E+03    89.0  169.61
000537-92-8  3-METHYLACETANILIDE                         13   1.52    -2.091    -1.612  -0.479   1.21E+03    66.0  149.19
000552-32-9  2-NITROACETANILIDE                          13   1.00    -1.909    -1.467  -0.442   2.22E+03    94.0  180.16
000579-10-2  N-METHYLACETANILIDE                         13   1.12    -0.951    -1.568   0.617   1.67E+04   103.0  149.19
000614-80-2  O-HYDROXYACETANILIDE                        13    .72    -2.235    -2.147  -0.088   8.80E+02   207.0  151.17
000622-78-6  BENZYLISOTHIOCYANATE                        13   3.16    -3.136    -3.609   0.473   1.09E+02   112.0  149.22
001125-78-6  5,6,7,8-TETRAHYDRO-2-NAPHTHOL               13   2.90    -1.995    -1.885  -0.11    1.50E+03    56.5  148.20
002008-58-4  2,6-DICHLOROBENZAMIDE                       13    .77    -1.843    -2.225   0.382   2.73E+03   197.0  190.03
002303-25-5  3-METHYL-4'-NITRODIPHENYL ETHER             13   4.40    -4.661    -5.105   0.444   5.00E+00    63.0  229.24
020057-31-2  A-(2,2,2-TRICHLOROETHYL)STYRENE             13   4.56    -4.282    -4.424   0.142   1.23E+01    Liq   235.54
052387-57-2  N-(ETHYLAMINOMETHYL)BENZAMIDE               13    .56    -0.075    -0.597   0.522   1.50E+05    46.0  178.24
000074-89-5  METHYLAMINE                                 14   -.57     1.541     1.508   0.033   1.08E+06    Liq   31.06
000075-04-7  ETHYLAMINE                                  14   -.13     1.346     1.346   0       1.00E+06    Liq   45.08
000075-31-0  ISOPROPYLAMINE                              14    .26     1.228     1.096   0.132   1.00E+06    Liq   59.11
000075-50-3  TRIMETHYLAMINE                              14    .16     1.178     1.192  -0.014   8.90E+05    Liq   59.11
000075-64-9  T-BUTYLAMINE                                14    .40     1.136     0.918   0.218   1.0E+06     Liq   73.14
000078-81-9  ISOBUTYLAMINE                               14    .73     1.136     0.601   0.535   1.00E+06    Liq   73.14
000100-46-9  BENZYLAMINE                                 14   1.09     0.97      0.148   0.822   1.00E+06    Liq   107.16
000102-69-2  TRIPROPYLAMINE                              14   2.79    -2.282    -1.597  -0.685   7.48E+02    Liq   143.27
000104-75-6  2-ETHYLHEXYLAMINE                           14   2.82    -1.713    -1.582  -0.132   2.50E+03    Liq   129.25
000107-10-8  PROPYLAMINE                                 14    .48     1.228     0.885   0.344   1.00E+06    Liq   59.11
000107-11-9  ALLYLAMINE                                  14    .03     1.243     1.243   0       1.00E+06    Liq   57.10
000108-91-8  CYCLOHEXANAMINE                             14   1.49     1.004    -0.211   1.214   1.00E+06    Liq   99.18
000109-73-9  N-BUTYLAMINE                                14    .97     1.136     0.37    0.766   1.00E+06    Liq   73.14
000109-89-7  DIETHYLAMINE                                14    .58     1.136     0.745   0.391   1.00E+06    Liq   73.14
000110-58-7  N-PENTYLAMINE                               14   1.49     1.06     -0.173   1.233   1.00E+06    Liq   87.17
000111-26-2  N-HEXYLAMINE                                14   2.06    -0.926    -0.764  -0.162   1.20E+04    Liq   101.19
000111-92-2  DIBUTYLAMINE                                14   2.83    -1.439    -1.591   0.152   4.70E+03    Liq   129.25
000121-44-8  TRIETHYLAMINE                               14   1.45    -0.138    -0.179   0.041   7.37E+04    Liq   101.19
000124-02-7  DIALLYLAMINE                                14   1.11    -0.053     0.161  -0.214   8.60E+04    Liq   97.16
000124-40-3  DIMETHYLAMINE                               14   -.38     1.558     1.346   0.212   1.63E+06    Liq   45.08
000141-43-5  ETHANOLAMINE                                14  -1.31     1.214     1.214   0       1.00E+06    Liq   61.08
000142-84-7  DIPROPYLAMINE                               14   1.67    -0.237    -0.39    0.152   5.86E+04    Liq   101.19
000062-53-3  ANILINE                                     15    .90    -0.413    -0.463   0.05    3.60E+04    Liq   93.13
000088-74-4  2-NITROANILINE                              15   1.85    -1.973    -1.931  -0.042   1.47E+03    70.0  138.13
000091-66-7  N,N-DIETHYLANILINE                          15   3.31    -3.028    -2.953  -0.075   1.40E+02    Liq   149.24
000091-94-1  3,3'-DICHLOROBENZIDINE                      15   3.51    -4.912    -4.456  -0.456   3.10E+00   132.0  253.13
000092-87-5  BENZIDINE                                   15   1.34    -2.758    -2.018  -0.739   3.22E+02   117.0  184.24
000095-51-2  2-CHLOROANILINE                             15   1.90    -1.194    -1.531   0.337   8.16E+03    Liq   127.57
000095-53-4  O-TOLUIDINE                                 15   1.32    -0.81     -0.91    0.101   1.66E+04    Liq   107.16
000095-54-5  1,2-BENZENEDIAMINE                          15    .15    -0.428    -0.513   0.085   4.04E+04   103.5  108.14
000095-55-6  O-AMINOPHENOL                               15    .62    -0.737    -1.597   0.86    2.00E+04   172.0  109.13
000095-76-1  3,4-DICHLOROANILINE                         15   2.69    -3.246    -2.826  -0.42    9.20E+01    71.5  162.02
000096-91-3  2-AMINO-4,6-DINITROPHENOL                   15    .93    -2.153    -2.15   -0.003   1.40E+03   169.0  199.12
000099-09-2  3-NITROANILINE                              15   1.37    -2.061    -1.875  -0.187   1.20E+03   114.0  138.13
000100-01-6  4-NITROANILINE                              15   1.39    -2.278    -2.211  -0.067   7.28E+02   148.5  138.13
000100-61-8  N-METHYLANILINE                             15   1.66    -1.28     -1.237  -0.043   5.62E+03    Liq   107.16
000101-77-9  DI-(P-AMINOPHENYL)METHANE                   15   1.59    -2.297    -2.045  -0.253   1.00E+03    89.0  198.27
000106-47-8  4-CHLOROANILINE                             15   1.83    -1.515    -1.869   0.354   3.90E+03    69.0  127.57
000106-49-0  P-TOLUIDINE                                 15   1.39    -1.217    -1.157  -0.06    6.50E+03    44.5  107.16
000106-50-3  1,4-BENZENEDIAMINE                          15   -.66    -0.466    -0.126  -0.34    3.70E+04   146.0  108.14
000108-42-9  3-CHLOROANILINE                             15   1.88    -1.373    -1.512   0.139   5.40E+03    Liq   127.57
000108-44-1  M-TOLUIDINE                                 15   1.40    -0.854    -0.987   0.133   1.50E+04    Liq   107.16
000108-45-2  1,3-BENZENEDIAMINE                          15   -.36     0.343     0.351  -0.009   2.38E+05    62.8  108.14
000119-90-4  3,3'-DIMETHOXYBENZIDINE                     15   1.81    -3.61     -2.847  -0.763   6.00E+01   137.5  244.30
000121-69-7  N,N-DIMETHYLANILINE                         15   2.31    -1.922    -1.905  -0.017   1.45E+03    Liq   121.18
000122-39-4  DIPHENYLAMINE                               15   3.50    -3.504    -3.46   -0.044   5.30E+01    53.5  169.23
000123-11-5  P-ANISALDEHYDE                              15   1.76    -1.502    -1.424  -0.078   4.29E+03    Liq   136.15
000123-30-8  PHENOL, 4-AMINO-                            15    .04    -0.834    -1.206   0.372   1.60E+04   190.0  109.13
000554-00-7  2,4-DICHLOROANILINE                         15   2.78    -2.417    -2.82    0.403   6.20E+02    61.5  162.02
000591-27-5  PHENOL, 3-AMINO-                            15    .17    -0.607    -0.733   0.126   2.70E+04   125.0  109.13
000626-43-7  3,5-DICHLOROANILINE                         15   2.90    -2.315    -2.848   0.533   7.84E+02    52.0  162.02
000634-93-5  2,4,6-TRICHLOROANILINE                      15   3.52    -3.691    -3.795   0.104   4.00E+01    78.5  196.46
000051-28-5  2,4-DINITROPHENOL                           16   1.54    -1.819    -2.173   0.353   2.79E+03   113.0  184.11
000058-90-2  2,3,4,6-TETRACHLOROPHENOL                   16   4.45    -4.004    -3.755  -0.248   2.30E+01    69.5  231.89
000080-05-7  DIPHENYLOLPROPANE                           16   3.32    -3.279    -3.418   0.139   1.20E+02   152.0  228.29
000087-65-0  2,6-DICHLOROPHENOL                          16   2.64    -1.933    -1.76   -0.173   1.90E+03    65.0  163.00
000087-86-5  PENTACHLOROPHENOL                           16   5.12    -4.279    -5.468   1.189   1.40E+01   174.0  266.34
000088-06-2  2,4,6-TRICHLOROPHENOL                       16   3.69    -2.392    -2.913   0.521   8.00E+02    69.0  197.45
000088-75-5  2-NITROPHENOL                               16   1.79    -1.745    -1.637  -0.109   2.50E+03    44.0  139.11
000088-89-1  2,4,6-TRINITROPHENOL                        16   1.33    -1.256    -2.2     0.944   1.27E+04   122.5  229.11
000089-83-8  THYMOL                                      16   3.30    -2.222    -2.229   0.007   9.00E+02    51.5  150.22
000090-00-6  O-ETHYLPHENOL                               16   2.47    -1.359    -1.101  -0.259   5.34E+03    Liq   122.17
000090-05-1  2-METHOXYPHENOL                             16   1.32    -0.822    -1.01    0.188   1.87E+04    30.0  124.14
000090-43-7  2-PHENYLPHENOL                              16   3.09    -2.386    -2.141  -0.245   7.00E+02    57.0  170.21
000091-10-1  2,6-DIMETHOXYPHENOL                         16   1.15    -0.952    -1.18    0.228   1.72E+04    56.0  154.17
000092-69-3  P-PHENYLPHENOL                              16   3.20    -3.481    -3.236  -0.246   5.62E+01   164.5  170.21
000095-48-7  O-CRESOL                                    16   1.95    -0.621    -0.612  -0.009   2.59E+04    30.9  108.14
000095-57-8  2-CHLOROPHENOL                              16   2.15    -1.056    -0.813  -0.243   1.13E+04    Liq   128.56
000095-65-8  3,4-DIMETHYLPHENOL                          16   2.23    -1.409    -1.215  -0.194   4.76E+03    62.5  122.17
000095-87-4  2,5-DIMETHYLPHENOL                          16   2.33    -1.538    -1.426  -0.112   3.54E+03    75.0  122.17
000095-95-4  2,4,5-TRICHLOROPHENOL                       16   3.72    -2.216    -2.933   0.716   1.20E+03    68.0  197.45
000097-23-4  PHENOL,2,2'-METHYLENEBIS 4-CHLORO-          16   4.26    -3.953    -4.683   0.731   3.00E+01   177.5  269.13
000098-54-4  P-T-BUTYLYPHENOL                            16   3.31    -2.413    -2.667   0.253   5.80E+02    98.0  150.22
000100-02-7  4-NITROPHENOL                               16   1.91    -1.079    -1.435   0.356   1.16E+04   114.0  139.11
000105-67-9  2,4-DIMETHYLPHENOL                          16   2.30    -1.191    -0.937  -0.254   7.87E+03    Liq   122.17
000106-41-2  P-BROMOPHENOL                               16   2.59    -1.092    -1.734   0.642   1.40E+04    64.0  173.02
000106-44-5  P-CRESOL                                    16   1.94    -0.702    -0.637  -0.065   2.15E+04    34.7  108.14
000106-48-9  4-CHLOROPHENOL                              16   2.39    -0.729    -1.214   0.485   2.40E+04    43.5  128.56
000108-39-4  M-CRESOL                                    16   1.96    -0.678    -0.567  -0.111   2.27E+04    Liq   108.14
000108-43-0  3-CHLOROPHENOL                              16   2.39    -0.694    -1.117   0.423   2.60E+04    33.0  128.56
000108-46-3  RESORCINOL                                  16    .80     0.814    -0.242   1.055   7.17E+05   110.0  110.11
000108-68-9  3,5-DIMETHYLPHENOL                          16   2.35    -1.399    -1.344  -0.054   4.88E+03    64.0  122.17
000108-73-6  1,3,5-TRIHYDROXYBENZENE                     16    .16    -1.075    -0.671  -0.404   1.06E+04   218.0  126.11
000108-95-2  PHENOL                                      16   1.46    -0.056    -0.189   0.134   8.28E+04    40.9  94.11
000118-79-6  2,4,6-TRIBROMOPHENOL                        16   4.13    -3.674    -3.993   0.319   7.00E+01    95.0  330.82
000119-33-5  4-METHYL-2-NITROPHENOL                      16   2.15    -2.384    -1.957  -0.426   6.33E+02    36.5  153.14
000120-80-9  CATECHOL                                    16    .88     0.622    -0.272   0.894   4.61E+05   105.0  110.11
000120-83-2  2,4-DICHLOROPHENOL                          16   2.92    -1.559    -1.822   0.263   4.50E+03    42.5  163.00
000121-33-5  VANILLIN                                    16   1.21    -1.141    -1.471   0.33    1.10E+04    82.0  152.15
000123-07-9  P-ETHYLPHENOL                               16   2.58    -1.475    -1.399  -0.076   4.09E+03    46.0  122.17
000123-08-0  4-HYDROXYBENZALDEHYDE                       16   1.35    -0.976    -1.759   0.783   1.29E+04   213.5  122.12
000136-77-6  4-HEXYLRESORCINOL                           16   3.45    -2.589    -2.663   0.074   5.00E+02    68.0  194.28
000150-76-5  P-METHOXYPHENOL                             16   1.58    -0.492    -0.51    0.018   4.00E+04    53.0  124.14
000329-71-5  2,5-DINITROPHENOL                           16   1.75    -2.68     -2.31   -0.37    3.85E+02   106.0  184.11
000400-99-7  4-TRIFLUOROMETHYL-2-NITROPHENOL             16   2.34    -2.503    -2.709   0.205   6.50E+02    Liq   207.11
000446-36-6  5-FLUORO-2-NITROPHENOL                      16   1.91    -2.05     -1.735  -0.315   1.40E+03    36.0  157.10
000527-60-6  2,4,6-TRIMETHYLPHENOL                       16   2.73    -2.055    -1.836  -0.219   1.20E+03    73.0  136.20
000534-52-1  4,6-DINITRO-O-CRESOL                        16   2.12    -3        -2.516  -0.484   1.98E+02    85.0  198.14
000554-84-7  3-NITROPHENOL                               16   2.00    -1.013    -1.365   0.352   1.35E+04    97.0  139.11
000573-56-8  2,6-DINITROPHENOL                           16   1.37    -1.55     -1.554   0.004   5.19E+03    63.5  184.11
000576-24-9  2,3-DICHLOROPHENOL                          16   2.84    -1.656    -1.878   0.223   3.60E+03    57.0  163.00
000576-26-1  2,6-DIMETHYLPHENOL                          16   2.36    -1.305    -1.179  -0.126   6.05E+03    45.0  122.17
000583-78-8  2,5-DICHLOROPHENOL                          16   3.06    -1.911    -2.099   0.188   2.00E+03    58.0  163.00
000586-11-8  3,5-DINITROPHENOL                           16   2.36    -1.663    -2.12    0.457   4.00E+03   126.1  184.11
000591-20-8  M-BROMOPHENOL                               16   2.63    -0.876    -1.465   0.589   2.30E+04    30.6  173.02
000591-35-5  3,5-DICHLOROPHENOL                          16   3.62    -1.559    -2.728   1.169   4.5E+03     68.0  163.00
000601-89-8  2-NITRORESORCINOL                           16   1.56    -2.073    -1.807  -0.267   1.31E+03    81.0  155.11
000615-58-7  2,4-DIBROMOPHENOL                           16   3.22    -2.123    -2.366   0.244   1.90E+03    40.0  251.92
000885-82-5  4-PHENYL-2-NITROPHENOL                      16   3.71    -4.41     -3.944  -0.466   8.37E+00    68.5  215.21
000933-75-5  2,3,6-TRICHLOROPHENOL                       16   3.77    -2.642    -2.889   0.246   4.50E+02    58.0  197.45
001568-70-3  4-METHOXY-2-NITROPHENOL                     16   2.02    -2.839    -2.283  -0.556   2.45E+02    80.0  169.14
001570-64-5  2-METHYL-4-CHLOROPHENOL                     16   2.78    -1.552    -1.674   0.122   4.00E+03    48.0  142.59
002416-94-6  2,3,6-TRIMETHYLPHENOL                       16   2.67    -1.936    -1.686  -0.249   1.58E+03    63.0  136.20
002581-34-2  3-METHYL-4-NITROPHENOL                      16   2.48    -2.11     -2.155   0.046   1.19E+03   128.0  153.14
003011-34-5  4-FORMYL-2-NITROPHENOL                      16   1.48    -2.949    -2.32   -0.629   1.88E+02   141.0  167.12
003555-18-8  4-(SEC-BUTYL)-2-NITROPHENOL                 16   3.84    -3.84     -4.111   0.271   2.82E+01    Liq   195.22
004920-77-8  3-METHYL-2-NITROPHENOL                      16   2.29    -1.641    -2.092   0.451   3.50E+03    36.5  153.14
007147-89-9  4-CHLORO-5-METHYL-2-NITROPHENOL             16   2.93    -4.39     -3.716  -0.674   7.64E+00   134.5  187.58
000050-21-5  LACTIC ACID                                 17   -.72     1.045     1.045   0       1.00E+06    52.0  90.08
000057-10-3  PALMITIC ACID                               17   7.17    -6.807    -6.699  -0.108   4.00E-02    63.5  256.43
000064-18-6  FORMIC ACID                                 17   -.54     1.337     1.337   0       1.00E+06    Liq   46.03
000064-19-7  ACETIC ACID                                 17   -.17     1.221     1.221   0       1.00E+06    Liq   60.05
000076-03-9  TRICHLOROACETIC ACID                        17   1.33     0.519    -0.746   1.265   5.40E+05    57.5  163.39
000076-93-7  BENZILIC ACID                               17   2.30    -2.209    -2.308   0.098   1.41E+03   150.0  228.25
000077-06-5  GIBBERELLIC ACID                            17    .24    -1.841    -1.833  -0.007   5.0E+03    227.0  346.38
000077-92-9  CITRIC ACID                                 17  -1.72     0.489     0.716  -0.228   5.92E+05   153.0  192.13
000079-09-4  PROPIONIC ACID                              17    .33     1.13      0.794   0.337   1.00E+06    Liq   74.08
000079-11-8  CHLOROACETIC ACID                           17    .22     0.928     0.495   0.433   8.00E+05    62.0  94.50
000079-31-2  ISOBUTYRICACID                              17    .94     0.278     0.164   0.114   1.67E+05    Liq   88.11
000079-41-4  METHACRYLIC ACID                            17    .93     0.014     0.18   -0.166   8.90E+04    Liq   86.09
000079-43-6  DICHLOROACETIC ACID                         17    .92     0.89      0.055   0.834   1.0E+06     Liq   128.94
000080-58-0  A-BROMOBUTYRIC ACID                         17   1.42    -0.378    -0.544   0.167   7.0E+04     Liq   167.01
000086-87-3  NAPHTHALENEACETIC ACID                      17   2.24    -2.647    -2.358  -0.289   4.20E+02   130.0  186.21
000087-51-4  INDOLE-3-ACETIC ACID                        17   1.41    -2.067    -1.885  -0.182   1.50E+03   169.0  175.19
000088-09-5  2-ETHYLBUTYRIC ACID                         17   1.68    -0.81     -0.634  -0.175   1.80E+04    Liq   116.16
000090-64-2  A-HYDROXYPHENYLACETIC ACID                  17    .62     0.075    -0.171   0.246   1.81E+05   119.0  152.15
000094-74-6  2-METHYL-4-CHLOROPHENOXYACETIC ACID         17   3.25    -2.503    -3.189   0.686   6.30E+02   110.0  200.62
000098-89-5  CYCLOHEXANECARBOXYLIC ACID                  17   1.96    -1.445    -1.005  -0.44    4.60E+03    32.0  128.17
000099-66-1  VALPROIC ACID                               17   2.75    -1.858    -1.75   -0.108   2.00E+03    Liq   144.21
000103-82-2  PHENYLACETIC ACID                           17   1.41    -0.914    -0.912  -0.002   1.66E+04    76.5  136.15
000107-92-6  BUTYRIC ACID                                17    .79     1.055     0.308   0.747   1.00E+06    Liq   88.11
000109-52-4  PENTANOIC ACID                              17   1.39    -0.416    -0.312  -0.104   3.92E+04    Liq   102.13
000110-15-6  BUTANEDIOC ACID                             17   -.59    -0.152     0.067  -0.219   8.32E+04   185.0  118.09
000110-17-8  FUMARIC ACID                                17    .28    -1.22     -1.7     0.481   7.00E+03   287.0  116.07
000110-44-1  SORBIC ACID                                 17   1.33    -1.652    -1.293  -0.359   2.50E+03   134.5  112.13
000110-94-1  PENTANEDIOC ACID                            17   -.29     1.083     0.549   0.534   1.60E+06    96.5  132.12
000111-16-0  PIMELIC ACID                                17    .61    -0.506    -0.488  -0.018   5.00E+04   105.7  160.17
000112-05-0  NONANOIC ACID                               17   3.42    -2.746    -2.437  -0.309   2.84E+02    Liq   158.24
000112-37-8  UNDECANOIC ACID                             17   4.42    -3.553    -3.517  -0.035   5.22E+01    28.5  186.30
000112-38-9  UNDECYLENIC ACID                            17   3.86    -3.398    -2.941  -0.457   7.37E+01    Liq   184.28
000117-34-0  DIPHENYLACETIC ACID                         17   3.09    -3.223    -3.421   0.198   1.27E+02   148.0  212.25
000122-59-8  PHENOXYACETIC ACID                          17   1.34    -1.103    -1.093  -0.011   1.20E+04    98.0  152.15
000122-88-3  P-CHLOROPHENOXYACETIC ACID                  17   1.99    -2.29     -2.363   0.073   9.57E+02   156.5  186.60
000123-99-9  NONANEDIOC ACID                             17   1.57    -1.894    -1.505  -0.39    2.40E+03   106.5  188.23
000124-04-9  HEXANEDIOC ACID                             17    .08    -0.676    -0.361  -0.315   3.08E+04   152.0  146.14
000124-07-2  OCTANOIC ACID                               17   3.05    -2.262    -2.038  -0.224   7.89E+02    Liq   144.22
000140-10-3  TRANS-CINNAMIC ACID                         17   2.13    -2.434    -2.16   -0.273   5.46E+02   133.0  148.16
000142-62-1  HEXANOIC ACID                               17   1.92    -1.052    -0.865  -0.187   1.03E+04    Liq   116.16
000143-07-7  DODECANOIC ACID                             17   4.60    -3.561    -3.877   0.315   5.50E+01    44.0  200.32
000149-57-5  2-ETHYLHEXANOIC ACID                        17   2.64    -1.858    -1.644  -0.214   2.00E+03    Liq   144.22
000334-48-5  DECANOIC ACID                               17   4.09    -3.445    -3.183  -0.262   6.18E+01    31.4  172.27
000495-69-2  HIPPURIC ACID                               17    .31    -1.679    -1.713   0.033   3.75E+03   193.0  179.18
000501-52-0  BETA-PHENYLPROPIONIC ACID                   17   1.84    -1.406    -1.106  -0.299   5.90E+03    48.0  150.18
000529-64-6  TROPIC ACID                                 17    .77    -0.931    -0.354  -0.577   1.95E+04   118.5  166.18
000544-63-8  TETRADECANOIC ACID                          17   6.11    -5.329    -5.548   0.218   1.07E+00    58.5  228.38
000588-22-7  3,4-DICHLOROPHENOXYACETIC ACID              17   2.81    -2.685    -3.088   0.404   4.57E+02   138.0  221.04
000598-82-3  A-HYDROXYPROPIONIC ACID                     17   -.72     1.045     1.045   0       1.00E+06    Liq   90.08
000614-61-9  O-CHLOROPHENOXYACETIC ACID                  17   1.86    -2.164    -2.142  -0.022   1.28E+03   146.0  186.60
000621-82-9  CINNAMIC ACID                               17   2.13    -2.415    -2.16   -0.254   5.70E+02   133.0  148.16
000830-09-1  CINNAMIC ACID, P-METHOXY-                   17   2.68    -2.398    -3.155   0.757   7.12E+02   173.5  178.19
003724-65-0  CROTONIC ACID                               17    .72     0        -0.047   0.047   8.60E+04    71.6  86.09
006915-15-7  MALIC ACID                                  17  -1.26     0.873     0.873   0       1.00E+06   131.5  134.09
000050-78-2  ACETYLSALICYLIC ACID                        18   1.19    -1.593    -1.138  -0.455   4.60E+03   136.0  180.16
000051-36-5  3,5-DICHLOROBENZOIC ACID                    18   3.00    -3.114    -3.37    0.256   1.47E+02   186.0  191.01
000051-44-5  3,4-DICHLOROBENZOIC ACID                    18   3.25    -3.495    -3.812   0.317   6.11E+01   208.0  191.01
000055-22-1  ISONICOTINIC ACID                           18    .32    -1.374    -1.807   0.433   5.20E+03   319.0  123.11
000062-23-7  P-NITROBENZOIC ACID                         18   1.89    -2.922    -2.748  -0.174   2.0E+02    242.4  167.12
000065-49-6  P-AMINOSALICYLIC ACID                       18    .87    -1.957    -1.773  -0.184   1.69E+03   150.0  153.14
000065-85-0  BENZOIC ACID                                18   1.87    -1.655    -1.484  -0.172   2.70E+03   122.4  122.12
000069-72-7  SALICYLIC ACID                              18   2.26    -1.79     -1.275  -0.515   2.24E+03   158.0  138.12
000074-11-3  4-CHLOROBENZOIC ACID                        18   2.65    -3.337    -3.45    0.113   7.20E+01   243.0  156.57
000086-55-5  1-NAPTHOIC ACID                             18   3.10    -3.302    -3.177  -0.125   8.60E+01   161.0  172.19
000088-13-1  THIOPHENE-3-CARBOXYLIC ACID                 18   1.50    -1.474    -1.282  -0.193   4.30E+03   137.0  128.15
000088-14-2  2-FUROIC ACID                               18    .64    -0.48     -0.337  -0.144   3.71E+04   129.5  112.08
000088-67-5  2-IODOBENZOIC ACID                          18   2.40    -2.731    -2.752   0.021   4.61E+02   162.0  248.02
000088-99-3  O-PHTHALIC ACID                             18    .73    -1.375    -1.517   0.143   7.01E+03   230.0  166.13
000093-09-4  2-NAPHTHOIC ACID                            18   3.28    -3.564    -3.561  -0.003   4.70E+01   184.0  172.19
000098-73-7  BENZOIC ACID, 4-(TERT-BUTYL)-               18   3.78    -3.804    -3.904   0.1     2.80E+01   167.0  178.23
000099-04-7  M-TOLUIC ACID                               18   2.37    -2.143    -1.912  -0.231   9.80E+02   112.0  136.15
000099-05-8  3-AMINOBENZOIC ACID                         18    .43    -1.366    -1.521   0.155   5.90E+03   174.0  137.14
000099-06-9  M-HYDROXYBENZOIC ACID                       18   1.50    -1.28     -0.95   -0.33    7.25E+03   202.0  138.12
