Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C188728		Yes	Encounter Type Value Set Terminology	Encounter Type Value Set Terminology	Encounter Type Value Set Terminology	The terminology relevant to the encounter type.	CDISC DDF Encounter Type Value Set Terminology
C25716	C188728		Encounter Type Value Set Terminology	Visit		The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.	Visit
C188726		No	Endpoint Level Value Set Terminology	Endpoint Level Value Set Terminology	Endpoint Level Value Set Terminology	The terminology relevant to the endpoint level.	CDISC DDF Endpoint Level Value Set Terminology
C170559	C188726		Endpoint Level Value Set Terminology	Exploratory Endpoint		Endpoint(s) that may include clinically important events that are expected to occur too infrequently to show a treatment effect or endpoints that for other reasons are thought to be less likely to show an effect but are included to explore new hypotheses. (After FDA-NIH Protocol Template)	Exploratory Endpoint
C94496	C188726		Endpoint Level Value Set Terminology	Primary Endpoint		Endpoint(s) of greatest importance that is the basis for concluding whether the study met its objective(s) and provides a clinically relevant, valid, and reliable measure of the primary objective(s). (After FDA-NIH Protocol Template)	Primary Endpoint
C139173	C188726		Endpoint Level Value Set Terminology	Secondary Endpoint		Endpoint(s) that may provide supportive information about the effect of the study intervention(s) on the primary endpoint or demonstrate additional effects on the disease or condition. (After FDA-NIH Protocol Template)	Secondary Endpoint
C207412		No	Geographic Scope Type Value Set Terminology	Geographic Scope Type Value Set Terminology	Geographic Scope Type Value Set Terminology	The terminology relevant to the geographic scope type value set.	CDISC DDF Geographic Scope Type Value Set Terminology
C25464	C207412		Geographic Scope Type Value Set Terminology	Country		A sovereign nation occupying a distinct territory and ruled by an autonomous government.	Country
C68846	C207412		Geographic Scope Type Value Set Terminology	Global		Covering or affecting the whole of a system.	Global
C41129	C207412		Geographic Scope Type Value Set Terminology	Region		An area or portion of something with more or less definite boundaries designed or specified according to some established criteria.	Region
C207413		Yes	Governance Date Type Value Set Terminology	Governance Date Type Value Set Terminology	Governance Date Type Value Set Terminology	The terminology relevant to the governance date type value set.	CDISC DDF Governance Date Type Value Set Terminology
C207598	C207413		Governance Date Type Value Set Terminology	Protocol Effective Date		The date and time specifying when the protocol takes effect or becomes operative.	Protocol Effective Date
C132352	C207413		Governance Date Type Value Set Terminology	Sponsor Approval Date	Protocol Amendment Approval by Sponsor Date; Study Protocol Version Approval Date	The date on which a version of the protocol was finalized or approved by the sponsor.	Protocol Approval by Sponsor Date
C207414		Yes	Masking Role Value Set Terminology	Masking Role Value Set Terminology	Masking Role Value Set Terminology	The terminology relevant to the masking role value set.	CDISC DDF Masking Role Value Set Terminology
C17445	C207414		Masking Role Value Set Terminology	Care Provider	Caregiver; Carer; Caretaker	The primary person in charge of the care of a patient, usually a family member or a designated health care professional. (NCI)	Caregiver
C25936	C207414		Masking Role Value Set Terminology	Investigator		A person responsible for the conduct of the study, ensuring adherence to the protocol and good clinical practices. (CDISC Glossary)	Investigator
C207599	C207414		Masking Role Value Set Terminology	Outcomes Assessor		The individual who evaluates the outcome(s) of interest. (Clinicaltrials.gov)	Outcomes Assessor
C70793	C207414		Masking Role Value Set Terminology	Sponsor	Clinical Study Sponsor; Sponsor; Study Sponsor	An individual, company, institution, or organization that takes responsibility for the initiation, management, and/or financing of a clinical study. [After ICH E6, WHO, 21 CFR 50.3 (e), and after IDMP]	Clinical Study Sponsor
C41189	C207414		Masking Role Value Set Terminology	Study Subject		An individual who is observed, analyzed, examined, investigated, experimented upon, or/and treated in the course of a particular study.	Study Subject
C188725		No	Objective Level Value Set Terminology	Objective Level Value Set Terminology	Objective Level Value Set Terminology	The terminology relevant to the objective level.	CDISC DDF Objective Level Value Set Terminology
C163559	C188725		Objective Level Value Set Terminology	Exploratory Objective	Study Exploratory Objective; Trial Exploratory Objective	Additional scientific question(s) within the study that enable further discovery research, beyond the primary and secondary objectives.	Trial Exploratory Objective
C85826	C188725		Objective Level Value Set Terminology	Study Primary Objective	Study Primary Objective; Trial Primary Objective	The main scientific question(s) the study is designed to answer. (CDISC Glossary)	Trial Primary Objective
C85827	C188725		Objective Level Value Set Terminology	Study Secondary Objective	Study Secondary Objective; Trial Secondary Objective	The supportive or ancillary scientific question(s) the study is designed to answer. (CDISC Glossary)	Trial Secondary Objective
C188724		Yes	Organization Type Value Set Terminology	Organization Type Value Set Terminology	Organization Type Value Set Terminology	The terminology relevant to the organization type.	CDISC DDF Organization Type Value Set Terminology
C93453	C188724		Organization Type Value Set Terminology	Clinical Study Registry		An organization (typically a government agency) that administers the registration of studies. (BRIDG)	Study Registry
C70793	C188724		Organization Type Value Set Terminology	Clinical Study Sponsor	Clinical Study Sponsor; Sponsor; Study Sponsor	An individual, company, institution, or organization that takes responsibility for the initiation, management, and/or financing of a clinical study. [After ICH E6, WHO, 21 CFR 50.3 (e), and after IDMP]	Clinical Study Sponsor
C188863	C188724		Organization Type Value Set Terminology	Regulatory Agency	Regulator; Regulatory Body	An organization (typically a government agency) that is responsible for implementing and enforcing laws, licensing and regulating products and services, promoting the use of standards, and ensuring safety and consumer protections.	Regulatory Agency
C188723		No	Protocol Status Value Set Terminology	Protocol Status Value Set Terminology	Protocol Status Value Set Terminology	The terminology relevant to the protocol status.	CDISC DDF Protocol Status Value Set Terminology
C25425	C188723		Protocol Status Value Set Terminology	Approved		Acceptance as satisfactory by an authoritative body; established by authority; given authoritative approval.	Approval
C85255	C188723		Protocol Status Value Set Terminology	Draft		A preliminary version of a written work, design, or picture.	Draft
C25508	C188723		Protocol Status Value Set Terminology	Final		Conclusive in a process or progression.	Final
C63553	C188723		Protocol Status Value Set Terminology	Obsolete		No longer in use or valid; old.	Obsolete
C188862	C188723		Protocol Status Value Set Terminology	Pending Review	Draft Pending Review	A preliminary version of a written work, design, or picture that is awaiting review.	Pending Review
C207415		No	Study Amendment Reason Code Value Set Terminology	Study Amendment Reason Code Value Set Terminology	Study Amendment Reason Code Value Set Terminology	The terminology relevant to the study amendment reason code value set.	CDISC DDF Study Amendment Reason Code Value Set Terminology
C207600	C207415		Study Amendment Reason Code Value Set Terminology	Change In Standard Of Care		A change in the standard of care necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	Change In Standard Of Care
C207601	C207415		Study Amendment Reason Code Value Set Terminology	Change In Strategy		A change in the study purpose or intent of the scientific plan necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	Change In Strategy
C207602	C207415		Study Amendment Reason Code Value Set Terminology	IMP Addition		The addition of an investigational medicinal product to a clinical trial design necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	IMP Addition
C207603	C207415		Study Amendment Reason Code Value Set Terminology	Inconsistency And/or Error In The Protocol		An error or inconsistency in the protocol necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	Inconsistency and/or Error In The Protocol
C207604	C207415		Study Amendment Reason Code Value Set Terminology	Investigator/Site Feedback		Feedback from the investigator or study site necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	Investigator/Site Feedback
C207605	C207415		Study Amendment Reason Code Value Set Terminology	IRB/IEC Feedback		Feedback from the institutional review board or independent ethics committee necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	IRB/IEC Feedback
C207606	C207415		Study Amendment Reason Code Value Set Terminology	Manufacturing Change		A change to manufacturing processes of the study agents necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	Manufacturing Change
C207607	C207415		Study Amendment Reason Code Value Set Terminology	New Data Available (Other Than Safety Data)		Previously unavailable data (other than safety data) becomes available, which necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	New Data Available (Other Than Safety Data)
C207608	C207415		Study Amendment Reason Code Value Set Terminology	New Regulatory Guidance		A regulatory agency has published a guidance document that necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	New Regulatory Guidance
C207609	C207415		Study Amendment Reason Code Value Set Terminology	New Safety Information Available		Previously unavailable safety data becomes available, which necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	New Safety Information Available
C207610	C207415		Study Amendment Reason Code Value Set Terminology	Protocol Design Error		A protocol design error necessitates a change(s) to, or formal clarification of, a document. (ICH M11)	Protocol Design Error
C207611	C207415		Study Amendment Reason Code Value Set Terminology	Recruitment Difficulty		Challenges with participant recruitment necessitates a change(s) to, or formal clarification of, the protocol. (ICH M11)	Recruitment Difficulty
C207612	C207415		Study Amendment Reason Code Value Set Terminology	Regulatory Agency Request To Amend		A regulatory agency has expressed a need for a change(s) to, or formal clarification of, the protocol. (ICH M11)	Regulatory Agency Request To Amend
C188727		Yes	Study Arm Data Origin Type Value Set Terminology	Study Arm Data Origin Type Value Set Terminology	Study Arm Data Origin Type Value Set Terminology	The terminology relevant to the study arm data origin type.	CDISC DDF Study Arm Data Origin Type Value Set Terminology
C188866	C188727		Study Arm Data Origin Type Value Set Terminology	Data Generated Within Study		Data that are generated from the current study.	Data Generated Within Study
C188864	C188727		Study Arm Data Origin Type Value Set Terminology	Historical Data		Data from studies that have occurred in the past.	Historical Data
C165830	C188727		Study Arm Data Origin Type Value Set Terminology	Real World Data		Data relating to patient health status and/or the delivery of health care routinely collected from sources other than traditional clinical trials. NOTE: Examples of sources include data derived from electronic health records (EHRs); medical claims and billing data; data from product and disease registries; patient-generated data, including from in-home-use settings; and data gathered from other sources that can inform on health status, such as mobile devices. [After 21 U.S.C. 355g(b)).5 and Framework for FDA's Real-World Evidence Program December 2018] See also Real-World Evidence (RWE)	Real-world Data
C176263	C188727		Study Arm Data Origin Type Value Set Terminology	Synthetic Data		Data that are artificially created rather than being generated by actual events. NOTE: Data are often created with the help of algorithms and used for a wide range of activities, including as test data for new products and tools, for model validation, and in AI optimization. [After The Ultimate Guide to Synthetic Data in 2020, August 29, 2020]. See also artificial intelligence.	Synthetic Data
C188865	C188727		Study Arm Data Origin Type Value Set Terminology	Virtual Data		Data that are generated from virtual encounters between investigators and subjects.	Virtual Data
C207416		Yes	Study Design Characteristics Value Set Terminology	Study Design Characteristics Value Set Terminology	Study Design Characteristics Value Set Terminology	The terminology relevant to the study design characteristics value set.	CDISC DDF Study Design Characteristics Value Set Terminology
C98704	C207416		Study Design Characteristics Value Set Terminology	Adaptive		A study design that allows for prospectively planned modifications to one or more aspects of the design based on accumulating data from subjects in the trial. (FDA)	Adaptive Design
C207613	C207416		Study Design Characteristics Value Set Terminology	Extension	Roll-over Study	A study design in which subjects enrolled in one study are subsequently continued into a related study for longer term safety, tolerability, and/or effectiveness monitoring.	Extension Study Design
C46079	C207416		Study Design Characteristics Value Set Terminology	Randomized		A study design in which interventions are assigned to subjects according to randomization principles.	Randomized Controlled Clinical Trial
C207418		No	Study Intervention Product Designation Value Set Terminology	Study Intervention Product Designation Value Set Terminology	Study Intervention Product Designation Value Set Terminology	The terminology relevant to the study intervention product designation value set.	CDISC DDF Study Intervention Product Designation Value Set Terminology
C202579	C207418		Study Intervention Product Designation Value Set Terminology	IMP		A medicinal product which is being tested or used as a reference, including as a placebo, in a clinical trial. (Regulation (EU) No 536/2014 Article 2 (5))	Investigational Medicinal Product
C156473	C207418		Study Intervention Product Designation Value Set Terminology	NIMP (AxMP)		A medicinal product that is related to the specific needs of the clinical trial as described in the protocol, but not as an investigational medicinal product. NOTE: Auxiliary medicinal products may be authorised for marketing in a country or region or non-authorised. (CDISC Glossary)	Auxiliary Medicinal Product
C207417		No	Study Intervention Role Value Set Terminology	Study Intervention Role Value Set Terminology	Study Intervention Role Value Set Terminology	The terminology relevant to the study intervention role value set.	CDISC DDF Study Intervention Role Value Set Terminology
C207614	C207417		Study Intervention Role Value Set Terminology	Additional Required Treatment		A medicinal product that must be administered along with the experimental treatment (e.g., drug studies wherein opioid blockers are administered to prevent overdose).	Additional Required Medicinal Product
C165822	C207417		Study Intervention Role Value Set Terminology	Background Treatment		Medicinal products that are administered to each clinical trial subject, regardless of randomization group, a) to treat the indication which is the object of the study, or b) required in the protocol as part of standard care for a condition that is not the indication under investigation, and is relevant for the clinical trial design. [After Recommendations from the expert group on clinical trials for the implementation of Regulation (EU) No 536/2014' dd 28 June 2017]	Background Treatment
C158128	C207417		Study Intervention Role Value Set Terminology	Challenge Agent		A non-investigational medicinal product (NIMP) given to trial subjects to produce a physiological response that is necessary before the pharmacological action of the investigational medicinal product can be assessed. [After Recommendations from the expert group on clinical trials for the implementation of Regulation (EU) No 536/2014' dd 28 June 2017]	Challenge Agent
C18020	C207417		Study Intervention Role Value Set Terminology	Diagnostic		Any procedure or test used to diagnose a disease or disorder.	Diagnostic Procedure
C41161	C207417		Study Intervention Role Value Set Terminology	Experimental Intervention	Investigational Interventional; Investigational Therapy or Treatment	The drug, device, therapy, procedure, or process under investigation in a clinical study that is believed to have an effect on outcomes of interest in a study (e.g., health-related quality of life, efficacy, safety, pharmacoeconomics). [After https://grants.nih.gov/grants/policy/faq_clinical_trial_definition.htm#5224; https://grants.nih.gov/policy/clinical-trials/protocol-template.htm] See also test articles, devices, drug product, combination product, treatment, diagnosis. Contrast with investigational medicinal product.	Protocol Agent
C753	C207417		Study Intervention Role Value Set Terminology	Placebo		A pharmaceutical preparation that does not contain the investigational agent and is generally prepared to be physically indistinguishable from the preparation containing the investigational product.	Placebo
C165835	C207417		Study Intervention Role Value Set Terminology	Rescue Medicine		Medicinal products identified in the protocol as those that may be administered to subjects when the efficacy of the investigational medicinal product (IMP) is not satisfactory, the effect of the IMP is too great and is likely to cause a hazard to the patient, or to manage an emergency situation. [After EU-CTR Recommendations from the expert group on clinical trials for the implementation of Regulation (EU) No 536/2014' dd 28 June 2017]	Rescue Medications
C207419		No	Study Title Type Value Set Terminology	Study Title Type Value Set Terminology	Study Title Type Value Set Terminology	The terminology relevant to the study title type value set.	CDISC DDF Study Title Type Value Set Terminology
C207615	C207419		Study Title Type Value Set Terminology	Brief Study Title	Abbreviated Protocol Title	The short descriptive name for the study.	Brief Study Title
C207616	C207419		Study Title Type Value Set Terminology	Official Study Title		The formal descriptive name for the study.	Official Study Title
C207617	C207419		Study Title Type Value Set Terminology	Public Study Title		The descriptive name of the study that is intended for the lay public, written in easily understood language.	Public Study Title
C207618	C207419		Study Title Type Value Set Terminology	Scientific Study Title		A more extensive descriptive name of the study that is intended for medical professionals, written using medical and scientific language.	Scientific Study Title
C207646	C207419		Study Title Type Value Set Terminology	Study Acronym	Trial Acronym	A word or words formed from the beginning letters or a combination of syllables and letters of a compound term, which identifies a clinical study.	Study Acronym
C201265		No	Timing Relative To From Value Set Terminology	Timing Relative To From Value Set Terminology	Timing Relative To From Value Set Terminology	The terminology relevant to the timing relative to from value set.	CDISC DDF Timing Relative To From Value Set Terminology
C201352	C201265		Timing Relative To From Value Set Terminology	End to End		A timing relationship defined as the end of one event to the end of another event.	End to End
C201353	C201265		Timing Relative To From Value Set Terminology	End to Start		A timing relationship defined as the end of one event to the start of another event.	End to Start
C201354	C201265		Timing Relative To From Value Set Terminology	Start to End		A timing relationship defined as the start of one event to the end of another event.	Start to End
C201355	C201265		Timing Relative To From Value Set Terminology	Start to Start		A timing relationship defined as the start of one event to the start of another event.	Start to Start
C201264		No	Timing Type Value Set Terminology	Timing Type Value Set Terminology	Timing Type Value Set Terminology	The terminology relevant to the timing type value set.	CDISC DDF Timing Type Value Set Terminology
C201356	C201264		Timing Type Value Set Terminology	After		A type of time point relationship that follows a point or period of time within a timeline.	After Timing Type
C201357	C201264		Timing Type Value Set Terminology	Before		A type of time point relationship that comes before a point or period of time within a timeline.	Before Timing Type
C201358	C201264		Timing Type Value Set Terminology	Fixed Reference		A type of time point relationship that is fixed with respect to a timeline.	Fixed Reference Timing Type
